カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
Lv13 エロピチャ	エロピチャ・ニャンコ	１３	１８歳	１５６ｃｍ	？？	魔法博物館館長	魔法１、話術１、経営１	マジックの乳母の娘でマジックとは姉妹同然に育った	"\"""	のんびりとした雰囲気だが、行動に無駄が無く	気付かぬ内に自分のペースに引き込む油断ならない女性	"\"""	Lv13 エロピチャ	Lv60 ガンジー			
													全裸 エロピチャ	Lv40 マジック			
														Lv44 アレックス			
全裸 エロピチャ	エロピチャ・ニャンコ	１３	１８歳	１５６ｃｍ	？？	魔法博物館館長	魔法１、話術１、経営１	男を手玉に取るのが得意で、複数の彼氏と同時に	付き合っていたこともある。非常に経験豊富	"\"""	婚約者アレックスの死後、ガンジー王に取り入り	後妻の席に座った	Lv13 エロピチャ	Lv60 ガンジー			
													全裸 エロピチャ	Lv40 マジック			
														Lv44 アレックス			
山賊 エレナ	エレナ・フラワー	３２	１７歳	１５３ｃｍ	？？	フラワー盗賊団団長	槌２（残虐ギーコの力）	血吸いペッタンという呪いのハンマーから解放されたが	今度は残虐ギーコというアイテムに呪われてしまった	部下が一生懸命探して見つけてきた	"\"""	ギーコに血を吸わせないと貧血で死んでしまう	山賊 エレナ	Lv38 アルカネーゼ			
													処女山賊 エレナ				
													全裸 エレナ				
処女山賊 エレナ	エレナ・フラワー	３２	１７歳	１５３ｃｍ	？？	フラワー盗賊団団長	槌２（血吸いペッタンの力）	ヘルマンで盗賊をしていたころのエレナ	このときは血吸いペッタンというアイテムに	呪われていた。呪いはおおむね残虐ギーコと	同質のもの。ただし、血吸いペッタンは	処女にしか取り憑けない	山賊 エレナ	Lv38 アルカネーゼ			
													処女山賊 エレナ				
													全裸 エレナ				
全裸 エレナ	エレナ・フラワー	３２	１７歳	１５３ｃｍ	？？	フラワー盗賊団団長	槌２（残虐ギーコの力）	以前呪いのアイテムを持っていた頃、	ランスに抱かれたのが初体験となっている	"\"""	アイテムの力により精神は男になっている為、	男性には、絶対、絶対、ぜーーったい抱かれたくない	山賊 エレナ	Lv38 アルカネーゼ			
													処女山賊 エレナ				
													全裸 エレナ				
花屋 エレナ	エレナ・フラワー	１	１７歳	１５３ｃｍ	？？	花売り	"\"""	元はヘルマンの花屋の娘	"\"""	男の人格を持っていたが、呪いのアイテムから	解放されたことで元の優しい性格に戻った	花売りは別に変な隠語とかではありません	花屋 エレナ	Lv41 サイアス			
													全裸 花屋エレナ				
全裸 花屋エレナ	エレナ・フラワー	１	１７歳	１５３ｃｍ	？？	花売り	"\"""	キスすら知らず、恋に夢見る可憐な乙女だったが	呪いのアイテムから解放するため、	ヘルマンでは衆目の中ランスに処女を奪われ、	ゼスではアナルセックスされてしまった	"\"""	花屋 エレナ	Lv41 サイアス			
													全裸 花屋エレナ				
Lv7 マルチナ	マルチナ・カレー	７	２４歳	１６０ｃｍ	？？	サクラ＆パスタ総料理長	料理２	ゼスが誇る一流の料理人	「おいしい」と言われるのが何より大好き	"\"""	第６９回ゼス料理人コンテストで念願の優勝を果たした	離婚歴があり、現在はシングルマザー	Lv7 マルチナ	魔人 ガルティア			
													全裸 マルチナ				
全裸 マルチナ	マルチナ・カレー	７	２４歳	１６０ｃｍ	？？	サクラ＆パスタ総料理長	料理２	料理の奥義を学ぶ為に危険を承知で食通親爺の元で修行	なんとか技術は学べたが、かなり酷いセクハラを受け	エッチの教育もさせられた	"\"""	ゼス暴動の混乱の中、ランスにレイプされている	Lv7 マルチナ	魔人 ガルティア			
													全裸 マルチナ				
Lv19 ロッキー	ロッキー・バンク	１９	１７歳	１５７ｃｍ	６２ｋｇ	ランスの下僕	鎚１、ガード０	元ゼスの二級市民で自称ランスの召使い	ランスを心から尊敬している	"\"""	子供に好かれやすく、孤児院の人気者	"\"""	Lv19 ロッキー	Lv42 ランス			
														Lv6 キムチ			
Lv25 リズナ	リズナ・ランフビット	２５	５１歳	１７０ｃｍ	？？	旅人	槍１、魔法１、性技２	お人よしですぐに騙されてしまう女の子	なぜかハニーに好かれやすい	魔法を受け付けないハニワ体質の持ち主	"\"""	３２年間、玄武城という異空間に閉じ込められていた	Lv25 リズナ	Lv60 ガンジー			
													Lv42 リズナ	Lv48 パパイア			
													全裸 リズナ	ハニーキング			
Lv42 リズナ	リズナ・ランフビット	４２	５１歳	１７０ｃｍ	？？	旅人	槍１、魔法１、性技２	学生時代はガンジー王の先輩。魔法学校で	生徒会長を務めた成績優秀者であり魔法は得意	"\"""	さらに玄武城ではぷちハニーの景勝から古武道を	教え込まれており、薙刀の達人でもある	Lv25 リズナ	Lv60 ガンジー			
													Lv42 リズナ	Lv48 パパイア			
													全裸 リズナ	ハニーキング			
全裸 リズナ	リズナ・ランフビット	２５	５１歳	１７０ｃｍ	？？	旅人	槍１、魔法１、性技２	３２年に渡る玄武城の生活で様々な男の陵辱を受けた	チドセセーという男によって壮絶な調教を受け	常に発情しどんな命令にも快楽をもって従う最上級の	穴奴隷と化している	現在、普段は薬で淫乱化を抑えている	Lv25 リズナ	Lv60 ガンジー			
													Lv42 リズナ	Lv48 パパイア			
													全裸 リズナ	ハニーキング			
英霊 パセリ	パセリ・リグ・ゼス	７８	２３９歳	１５０ｃｍ	０ｋｇ	ゼス建国者	魔法Lv2．神魔法２．魔法科学１．探索１	２００年前、魔法使いの復権を求めて立ち上がった	伝説の魔法使い。当時紛争地帯だった大陸南部を平定し	魔法大国ゼスを作り上げた	"\"""	"\"""	英霊 パセリ	使徒 ルーシー			
													全裸 パセリ	Lv40 マジック			
														Lv60 ガンジー			
全裸 パセリ	パセリ・リグ・ゼス	７８	２３９歳	１５０ｃｍ	０ｋｇ	ゼス建国者	魔法Lv2．神魔法２．魔法科学１．探索１	パセリには７人の夫がいた。パセリは男達を愛し	男達もパセリを愛した。７人は恨み合うことなく、	恋のライバルとして競争しあう爽やかな間柄であった	後に２代目ゼス王となる子を身ごもった時、誰の子か	調べようとはせず、８人全員の子として大切に育てた	英霊 パセリ	使徒 ルーシー			
													全裸 パセリ	Lv40 マジック			
														Lv60 ガンジー			
Lv6 キムチ	キムチ・ドライブ	６	３２歳	１６８ｃｍ	？？	孤児院院長	料理１	レジスタンス時代からウルザを支え続けてきた彼女の親友	ゼスの二級市民孤児で、悲惨な少女時代を過ごしてきた	同じ境遇を持つ子供達を守るため、孤児院を運営している	"\"""	キムチ鍋を作ることができる。カラウマー	Lv6 キムチ	Lv47 ウルザ			
													全裸 キムチ	Lv19 ロッキー			
全裸 キムチ	キムチ・ドライブ	６	３２歳	１６８ｃｍ	？？	孤児院院長	料理１	幼少から酷い性的虐待を受けてきた過去を持つ	レジスタンスでも子供達が襲われる危険があったため	自ら男達の性処理係を引き受けてきた	"\"""	"\"""	Lv6 キムチ	Lv47 ウルザ			
													全裸 キムチ	Lv19 ロッキー			
Lv13 チョチョマン	チョチョマン・パブリ	１３	５７歳	１３８ｃｍ	２５ｋｇ	ゼス四天王	政治１、書道２	ゼスの改革によって初めて、まったく魔法が使えない	民間人からゼス四天王が選ばれた	"\"""	ウルザと並び新しいゼスを象徴する国民の信頼篤き人物	"\"""	Lv13 チョチョマン	Lv40 マジック			
														Lv50 千鶴子			
														Lv47 ウルザ			
Lv53 ソルトアン	ソルトアン	５３	２０歳	１５０ｃｍ	？？	ゼス王国親衛隊 公安部	魔法１、神魔法１	ゼスの地方貴族の一人娘	次期当主として英才教育を受けてきた実力派	"\"""	現在はウルザ直属の部下として実績を重ねている	行政部所属なので軍人ではない	Lv53 ソルトアン	Lv47 ウルザ			
													全裸 ソルトアン				
全裸 ソルトアン	ソルトアン	５３	２０歳	１５０ｃｍ	？？	ゼス王国親衛隊 公安部	魔法１、神魔法１	恋愛経験は無し	勉学や仕事に打ち込むタイプで色恋に無頓着	貴族の娘として、一応その手の勉強もしてはいる	"\"""	"\"""	Lv53 ソルトアン	Lv47 ウルザ			
													全裸 ソルトアン				
Lv00 ブラックロータス	ブラックロータス	００	３０歳	１８１ｃｍ	６３ｋｇ	魔法犯罪者（元研究員）	魔法１、聖魔法１	元は無から有を生み出す研究を行っていた魔法研究者。	研究が神の領域を侵す危険なものになっていったため	ＡＬ教から警告を受けたがこれを無視。	教会の介入を警戒したゼス当局によって投獄された。	"\"""	Lv00 ブラックロータス	Lv53 ソルトアン			
Lv27 コパンドン	コパンドン・ドット	２７	３２歳	１４８ｃｍ	？？	コパ・ホールディングス会長 ＣＩＴＹ都市長	お神籤１、経営２	ポルトガル出身の商人	神社で生まれ、おみくじの修行を積んでいる	以前は玉の輿を目指していたが致命的に男運が無かった	"\"""	金も幸せも、自分の力で掴み取ったるんや！	Lv27 コパンドン	Lv30 ユーティン			
													Lv17 コパンドン	謎商人 プルーペット			
													大富豪 コパンドン	使徒 ユキちゃん			
													全裸 コパンドン				
Lv17 コパンドン	コパンドン・ドット	１７	３２歳	１４８ｃｍ	？？	コパ・ホールディングス会長 ＣＩＴＹ都市長	お神籤１、経営２	おみくじの師匠には「自分の事は決して占うな」と	釘を刺されていたが、無視して恋愛運を占ってしまった	結果は「凶」	彼女はこれを受け入れられず、おみくじにかかれた文字と	一緒に自分の記憶も改ざんしてしまった。	Lv27 コパンドン	Lv30 ユーティン			
													Lv17 コパンドン	謎商人 プルーペット			
													大富豪 コパンドン	使徒 ユキちゃん			
													全裸 コパンドン				
大富豪 コパンドン	コパンドン・ドット	２７	３２歳	１４８ｃｍ	？？	コパ・ホールディングス会長 ＣＩＴＹ都市長	お神籤１、経営２	ランスの人生を丸ごと買い占めることを目標に、	この世の富のありったけをかき集めるため奮闘し	遂に世界一の大金持ちとなった	"\"""	目指せ１兆億Ｇ！	Lv27 コパンドン	Lv30 ユーティン			
